LandWaterProtect,LandWaterManage,Livelihood,SpeciesManage,EducateAware,LawPolicy,WorkshopName,Justification,PARCA,TNC,EPA,ACJV,NBCI,Alabama,Florida,NorthCarolina,Virginia,Georgia,HUC12,HU_12_NAME,SUBREGION,BASIN,SUBBASIN,Shape_Length,Shape_Area
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., , , ,Priority, , , , , , ,030701011804,Log Dam Creek-Lake Sinclair,Altamaha-St. Marys,Altamaha,Upper Oconee,37579.4734217057,48726996.9765625
 , , , , , ,,, , , , , , , , , , ,031300050301,Headwaters White Oak Creek,Apalachicola,Apalachicola,Upper Flint,31885.425904482498,48637466.703125
 , , , , , ,,, ,Priority, , , , , , , , ,031501081003,Ketchepedrakee Creek,Alabama,Coosa-Tallapoosa,Upper Tallapoosa,57557.17981902698,72040495.7265625
 , , , , , ,,, ,Priority, ,Priority,Priority, , , , , ,030502070801,Doctors Creek,Edisto-Santee,Edisto-South Carolina Coastal,Salkehatchie,51467.9645056882,62455004.2265625
Yes,Yes,Yes,Yes,Yes, ,Combahee/Coosawhatchie,"Part of the north-south connector, this area presents an opportunity for work with mitigation banks to restore wetlands. Sturgeon and shad", , , ,Priority,Priority, , , , , ,030502070203,Whippy Swamp,Edisto-Santee,Edisto-South Carolina Coastal,Salkehatchie,76088.63073005466,122369395.1484375
Yes,Yes,Yes,Yes,Yes, ,Combahee/Coosawhatchie,"Part of the north-south connector, this area presents an opportunity for work with mitigation banks to restore wetlands. Sturgeon and shad", ,Priority, ,Priority,Priority, , , , , ,030502070606,Outlet Salkehatchie River,Edisto-Santee,Edisto-South Carolina Coastal,Salkehatchie,78676.8900270099,107805012.421875
 ,Yes, ,Yes,Yes,Yes,Ashley/Wando,Part of the Edisto River Coast area., ,Priority, ,Priority, , , , , , ,030502010605,Lower Ashley River,Edisto-Santee,Edisto-South Carolina Coastal,Cooper,65882.73477637586,125710794.265625
 , , , , , ,,, , , , , , , , , ,Priority,031501080703,Middle Indian Creek,Alabama,Coosa-Tallapoosa,Upper Tallapoosa,27471.96724553314,38713501.79296875
 ,Yes,Yes,Yes,Yes, ,Savannah River - Lower,"Part of God's Country, this area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management. Important neotropical bird habitat",Priority, ,Priority,Priority,Priority, , , , ,Priority,030601080304,Sandy Branch-Brier Creek,Ogeechee-Savannah,Savannah,Brier,71604.67499622566,144831308.796875
 , , , , , ,,, , , , , , , , , , ,031501081001,Dynne Creek,Alabama,Coosa-Tallapoosa,Upper Tallapoosa,40601.90029652714,66078044.203125
 , , , , , ,,, ,Priority, ,Priority, , , , , , ,030502070901,Baptist Church Branch,Edisto-Santee,Edisto-South Carolina Coastal,Salkehatchie,51088.61001706324,61386443.671875
Yes,Yes,Yes,Yes,Yes,Yes,Chattahoochee River near Atlanta,Expanding ACF area upstream, , ,Priority,Priority, , , , , ,Priority,031300020405,Yellowdirt Creek,Apalachicola,Apalachicola,Middle Chattahoochee-Lake Harding,38793.09439000957,66868801.59765625
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., , , , ,Priority, , , , ,Priority,030602010202,Cowpen Creek,Ogeechee-Savannah,Ogeechee,Upper Ogeechee,51301.04496747501,84532455.4140625
Yes,Yes,Yes,Yes,Yes, ,Savannah River,"Part of God's Country, this area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management.",Priority,Priority,Priority,Priority,Priority, , , , , ,030601060705,Lower Lower Three Runs,Ogeechee-Savannah,Savannah,Middle Savannah,43562.633899226625,45391760.703125
 ,Yes,Yes,Yes,Yes, ,,, , , , , , , , , , ,030701031101,Thompson Creek-Towaliga River,Altamaha-St. Marys,Altamaha,Upper Ocmulgee,42460.68854497012,80276301.6953125
 , , , , , ,,, , , , , , , , , ,Priority,031300050205,Lower Whitewater Creek ,Apalachicola,Apalachicola,Upper Flint,61233.46319440638,120208073.875
 ,Yes,Yes,Yes,Yes, ,,, , , , , , , , , , ,030701031103,Indian Creek,Altamaha-St. Marys,Altamaha,Upper Ocmulgee,48803.748813083985,71394548.4296875
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., , , , ,Priority, , , , , ,030602010401,Upper Big Creek,Ogeechee-Savannah,Ogeechee,Upper Ogeechee,50030.39054610013,89643934.3203125
 , ,Yes,Yes,Yes,Yes,East Edisto River,"Part of the Edisto River Coast area. Over 78,000 acres owned by MeadWestvaco (MWV) and presents strong conservation and partnership opportunities.", , , ,Priority, , , , , , ,030502020105,Rantowles Creek,Edisto-Santee,Edisto-South Carolina Coastal,South Carolina Coastal,82205.65794009899,145197866.6953125
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., , ,Priority, ,Priority, , , , ,Priority,030601080303,McIntosh Creek-Brier Creek,Ogeechee-Savannah,Savannah,Brier,58419.83391947809,126577541.8359375
 , , , , , ,,, , , , , , , , , ,Priority,031300050105,Bear Creek,Apalachicola,Apalachicola,Upper Flint,42609.965816732496,62049423.265625
Yes,Yes,Yes,Yes,Yes, ,Pinkston Outcrop,"An example of a piedmont granitic outcrop (90% of Piedmont granitic outcrops in GA), which tend to be small- to medium-patch systems imbedded in human-influenced landscape, especially forestry. This area is important for biodiversity conservation and is characterized with the presence of rare plants and plant communities, animals, and lichen communities. Area is also in private industrial ownership.", ,Priority, , , , , , , , ,030701020301,Pinkston Creek-Buffalo Creek,Altamaha-St. Marys,Altamaha,Lower Oconee,46800.72089852072,95596206.75
 ,Yes,Yes,Yes,Yes, ,Central Piedmont Connectivity,"Part of God's Country, this area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management. Connecting existing protectionsThis area is characterized by the presence of rare species including Red Cockaded Woodpeckers and rare fish and aquatic species in streams. Opportunities to connect with existing protected areas and serve a habitat corridor.  Potential to build connectivity to base.  Build from base. Rare species: RCW, Streams are significant – rare fish and species. #14 Metro Actions (Greater Atlanta) – No HUCS selected. Habitat cooridor |  |  |  |  |", ,Priority, , , , , , , ,Priority,030701011503,Reece Branch-Little River,Altamaha-St. Marys,Altamaha,Upper Oconee,45299.22475988273,66452656.5390625
 , , , , , ,,, ,Priority, , , , , , , ,Priority,031501080902,Bear Creek-Little Tallapoosa River,Alabama,Coosa-Tallapoosa,Upper Tallapoosa,60786.03635514159,94691096.93359375
Yes,Yes,Yes,Yes,Yes, ,Combahee/Coosawhatchie,"Part of the north-south connector, this area presents an opportunity for work with mitigation banks to restore wetlands. Sturgeon and shad",Priority,Priority, ,Priority,Priority, , , , , ,030502070201,Jackson Branch,Edisto-Santee,Edisto-South Carolina Coastal,Salkehatchie,73725.76467984168,156854163.265625
 ,Yes,Yes,Yes,Yes,Yes,Cooper,"Part of the Edisto River Coast area, this include near-shore environments.",Priority,Priority, ,Priority, , , , , , ,030502010707,Lower Cooper River,Edisto-Santee,Edisto-South Carolina Coastal,Cooper,102725.13336440144,181757578.1484375
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., ,Priority, ,Priority, , , , , , ,030701030903,Lower Tussahaw Creek-Jackson Lake,Altamaha-St. Marys,Altamaha,Upper Ocmulgee,50059.56331073515,84085644.4453125
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., , , ,Priority, , , , , ,Priority,030701011604,Shoal Creek,Altamaha-St. Marys,Altamaha,Upper Oconee,42792.59635366886,81106287.2109375
Yes,Yes,Yes,Yes,Yes,Yes,Chatahoochee Atlanta to West Point Lake,Expanding ACF area upstream. This is an important upland and pine forests on the Chattahoochee Ridges and presents opportunities for connectivity., , ,Priority,Priority, , , , , , ,031300020401,Cedar Creek,Apalachicola,Apalachicola,Middle Chattahoochee-Lake Harding,58644.26610592578,114239114.25390625
 ,Yes,Yes,Yes,Yes, ,Fall Line Connectivity,"High biodiversity and changing habitat. The fall line also establishes a north south axis that may be important under climate change scenarios that might involve northward migration. The selection represents the line between the physiographic provinces to find the fall line and selected HUCs running up the spine. There are unique community assemblages in the fall line (mussels). Part of God's Country, This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management.", , ,Priority, ,Priority, , , , ,Priority,030602010309,Upper Duhart Creek,Ogeechee-Savannah,Ogeechee,Upper Ogeechee,43573.98465657726,64996866.921875
 ,Yes,Yes,Yes,Yes, ,Central Piedmont Connectivity,"Part of God's Country, this area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management. Connecting existing protectionsThis area is characterized by the presence of rare species including Red Cockaded Woodpeckers and rare fish and aquatic species in streams. Opportunities to connect with existing protected areas and serve a habitat corridor.  Potential to build connectivity to base.  Build from base. Rare species: RCW, Streams are significant – rare fish and species. #14 Metro Actions (Greater Atlanta) – No HUCS selected. Habitat cooridor |  |  |  |  |", ,Priority, , , , , , , ,Priority,030701011607,Beaverdam Creek-Murder Creek,Altamaha-St. Marys,Altamaha,Upper Oconee,69948.64269376844,122033417.0703125
 ,Yes,Yes,Yes,Yes, ,,, , , , , , , , , , ,030701030901,Upper Tussahaw Creek,Altamaha-St. Marys,Altamaha,Upper Ocmulgee,38789.6505795501,64559557.90625
Yes,Yes,Yes,Yes,Yes,Yes,North and South Edisto,"Part of the Edisto River Coast area. Water quality and longest undammed blackwater river in eastern us. Supports Charleston water quality and provides other connections downstream. Water quantity and quality, important spawning grounds", ,Priority, ,Priority, , , , , , ,030502060303,Spooler Swamp-Edisto River,Edisto-Santee,Edisto-South Carolina Coastal,Edisto River,42015.742140188224,39237761.6484375
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., , ,Priority, ,Priority, , , , ,Priority,030601080302,Walnut Branch-Brier Creek,Ogeechee-Savannah,Savannah,Brier,59231.89284798105,119831229.265625
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., , , ,Priority, , , , , , ,030701011204,Fort Creek,Altamaha-St. Marys,Altamaha,Upper Oconee,46477.6577124809,88522813.1875
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., ,Priority, ,Priority, , , , , , ,030701011801,Crooked Creek,Altamaha-St. Marys,Altamaha,Upper Oconee,72500.8839666759,144736563.0859375
 , , , , , ,,, , , , , , , , , , ,031300050202,Shoal Creek,Apalachicola,Apalachicola,Upper Flint,49568.33542896954,69355737.9921875
 ,Yes,Yes,Yes,Yes, ,Central Piedmont Connectivity,"Part of God's Country, this area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management. Connecting existing protectionsThis area is characterized by the presence of rare species including Red Cockaded Woodpeckers and rare fish and aquatic species in streams. Opportunities to connect with existing protected areas and serve a habitat corridor.  Potential to build connectivity to base.  Build from base. Rare species: RCW, Streams are significant – rare fish and species. #14 Metro Actions (Greater Atlanta) – No HUCS selected. Habitat cooridor |  |  |  |  |", ,Priority, , , , , , , ,Priority,030701011501,Glady Creek,Altamaha-St. Marys,Altamaha,Upper Oconee,38283.47296113087,53056256.265625
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., , ,Priority, ,Priority, , , , ,Priority,030601080205,Brushy Creek,Ogeechee-Savannah,Savannah,Brier,87924.07903153381,165982783.8203125
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., , , ,Priority, , , , , ,Priority,030701031002,Herds Creek,Altamaha-St. Marys,Altamaha,Upper Ocmulgee,37975.72999895313,61935459.15625
 ,Yes,Yes,Yes,Yes, ,,, ,Priority, , , , , , , , ,030701030902,Middle Tussahaw Creek,Altamaha-St. Marys,Altamaha,Upper Ocmulgee,56564.211169295944,89225161.0703125
 ,Yes, ,Yes,Yes,Yes,Ashley/Wando,Part of the Edisto River Coast area., , , ,Priority, , , , , , ,030502010604,Middle Ashley River,Edisto-Santee,Edisto-South Carolina Coastal,Cooper,58700.1157396463,98846061.8515625
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., , , , ,Priority, , , , ,Priority,030602010111,Fords Creek-Ogeechee River,Ogeechee-Savannah,Ogeechee,Upper Ogeechee,48488.952509823066,84997541.7109375
 ,Yes,Yes,Yes,Yes, ,Central Piedmont Connectivity,"Part of God's Country, this area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management. Connecting existing protectionsThis area is characterized by the presence of rare species including Red Cockaded Woodpeckers and rare fish and aquatic species in streams. Opportunities to connect with existing protected areas and serve a habitat corridor.  Potential to build connectivity to base.  Build from base. Rare species: RCW, Streams are significant – rare fish and species. #14 Metro Actions (Greater Atlanta) – No HUCS selected. Habitat cooridor |  |  |  |  |", , , , , , , , , ,Priority,030701011605,White Oak Creek-Murder Creek,Altamaha-St. Marys,Altamaha,Upper Oconee,51993.42791159907,84982603.828125
 , , , , , ,,, , , , , , , , , , ,031300050203,Middle Line Creek,Apalachicola,Apalachicola,Upper Flint,71272.09498149234,93085691.6171875
 ,Yes, ,Yes,Yes, ,,, , , ,Priority, , , , , , ,030502010602,Upper Ashley River,Edisto-Santee,Edisto-South Carolina Coastal,Cooper,32615.45652797032,38319612.765625
 , , , , , ,,, ,Priority, ,Priority, , , , , , ,030502070903,Horseshoe Creek,Edisto-Santee,Edisto-South Carolina Coastal,Salkehatchie,92097.22753222295,165521388.421875
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management.,Priority,Priority,Priority,Priority, , , , , , ,030601060704,Furse Mill Creek,Ogeechee-Savannah,Savannah,Middle Savannah,32751.62865470872,41871699.125
 , ,Yes,Yes,Yes,Yes,East Edisto River,"Part of the Edisto River Coast area. Over 78,000 acres owned by MeadWestvaco (MWV) and presents strong conservation and partnership opportunities.", ,Priority, ,Priority, , , , , , ,030502020101,Fishburne Creek,Edisto-Santee,Edisto-South Carolina Coastal,South Carolina Coastal,35278.060808763854,61972172.21875
 , , , , , ,,, , , , , , , , , ,Priority,031501080704,Lower Indian Creek,Alabama,Coosa-Tallapoosa,Upper Tallapoosa,35853.66066345327,55744745.09765625
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., , ,Priority, ,Priority, , , , ,Priority,030601080301,Beaver Dam Creek-Brier Creek,Ogeechee-Savannah,Savannah,Brier,50277.08013994856,89146305.59375
 , , , , , ,,,Priority,Priority, , ,Priority,Priority, , , , ,031501080504,Curtis Creek-Little Tallapoosa River,Alabama,Coosa-Tallapoosa,Upper Tallapoosa,92663.30306677736,119515696.9921875
 , , , , , ,,, , , ,Priority,Priority, , , , , ,030502070506,Oldfield Creek-Little Salkehatchie River,Edisto-Santee,Edisto-South Carolina Coastal,Salkehatchie,57374.21432833388,68841871.53125
 ,Yes,Yes,Yes,Yes, ,Fall Line Connectivity,"High biodiversity and changing habitat. The fall line also establishes a north south axis that may be important under climate change scenarios that might involve northward migration. The selection represents the line between the physiographic provinces to find the fall line and selected HUCs running up the spine. There are unique community assemblages in the fall line (mussels). Part of God's Country, This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management.", , , , , , , , , , ,030602010306,Joes Creek,Ogeechee-Savannah,Ogeechee,Upper Ogeechee,53627.24821716108,75284273.765625
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., , , , , , , , , ,Priority,030602010110,Dry Creek,Ogeechee-Savannah,Ogeechee,Upper Ogeechee,31361.759360605454,44561606.5
 , , , , , ,,, , , , , , , , , ,Priority,031300050104,Murphy Creek-Flint River,Apalachicola,Apalachicola,Upper Flint,59411.27218065168,121917079.5390625
 , , , , , ,,, ,Priority, ,Priority,Priority, , , , , ,030502070803,Ireland Creek,Edisto-Santee,Edisto-South Carolina Coastal,Salkehatchie,64799.318372445996,91940881.4375
 , , , , , ,,, , ,Priority,Priority, , , , , ,Priority,031300020404,Whooping Creek,Apalachicola,Apalachicola,Middle Chattahoochee-Lake Harding,43580.2947912754,81353345.98828125
 , ,Yes,Yes,Yes,Yes,,,Priority,Priority, ,Priority, , , , , , ,030502090206,Atlantic Ocean,Edisto-Santee,Edisto-South Carolina Coastal,Bulls Bay,45271.69642375831,83193396.875
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., , , , , , , , , ,Priority,030602010201,Upper Ogeechee River,Ogeechee-Savannah,Ogeechee,Upper Ogeechee,40354.72465511015,68134745.6484375
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., ,Priority, ,Priority, , , , , , ,030701011803,Lower Rooty Creek,Altamaha-St. Marys,Altamaha,Upper Oconee,39223.61071871372,69727415.359375
 , , , , , ,,, , , ,Priority,Priority, , , , , ,030502070602,Savannah Creek,Edisto-Santee,Edisto-South Carolina Coastal,Salkehatchie,32174.941363526326,31556100.6953125
 ,Yes,Yes,Yes,Yes, ,,, , , , , , , , , , ,030701030302,Pew Creek-Yellow River,Altamaha-St. Marys,Altamaha,Upper Ocmulgee,41113.9115377786,73452124.59375
 , , , , , ,,, , , ,Priority,Priority, , , , , ,030502070504,Hog Branch-Buckhead Creek,Edisto-Santee,Edisto-South Carolina Coastal,Salkehatchie,57737.551502478556,85371996.296875
Yes,Yes,Yes, ,Yes, ,North-south connector,This area presents an opportunity for work with mitigation banks to restore wetlands., , , ,Priority,Priority, , , , , ,030502070505,Willow Swamp-Little Salkehatchie River,Edisto-Santee,Edisto-South Carolina Coastal,Salkehatchie,67611.4439277396,151796052.9609375
 , , , , , ,,, , ,Priority, , , , , , , ,031300020402,Wahoo Creek,Apalachicola,Apalachicola,Middle Chattahoochee-Lake Harding,60877.811705286265,134716734.671875
 ,Yes,Yes,Yes,Yes, ,"God's Country (Ogeechee, Altamaha, Savannah)",This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management., , , ,Priority, , , , , , ,030701011802,Upper Rooty Creek,Altamaha-St. Marys,Altamaha,Upper Oconee,55325.09749682654,97710541.78125
 , , , , , ,,, , , ,Priority,Priority, , , , , ,030502070110,Wells Branch,Edisto-Santee,Edisto-South Carolina Coastal,Salkehatchie,38943.68400155488,60705093.71875
Yes,Yes,Yes,Yes,Yes,Yes,Ashley/Wando,Part of the Edisto River Coast area. Urbanization pressure.,Priority,Priority, ,Priority, , , , , , ,030502010402,Lower Wando River,Edisto-Santee,Edisto-South Carolina Coastal,Cooper,58921.664338994575,130895230.2421875
 ,Yes,Yes,Yes,Yes,Yes,Yellow River - Alcovy River,"Part of God's Country, this area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management.", , , ,Priority, , , , , ,Priority,030701030804,Rocky Creek-Jackson Lake,Altamaha-St. Marys,Altamaha,Upper Ocmulgee,37981.53232643542,50683872.921875
 ,Yes,Yes,Yes,Yes, ,Fall Line Connectivity,"High biodiversity and changing habitat. The fall line also establishes a north south axis that may be important under climate change scenarios that might involve northward migration. The selection represents the line between the physiographic provinces to find the fall line and selected HUCs running up the spine. There are unique community assemblages in the fall line (mussels). Part of God's Country, This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management.", , , , ,Priority, , , , , ,030602010305,Deep Creek,Ogeechee-Savannah,Ogeechee,Upper Ogeechee,45277.417736990355,67187054.765625
 ,Yes,Yes,Yes,Yes, ,Central Piedmont Connectivity,"Part of God's Country, this area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management. Connecting existing protectionsThis area is characterized by the presence of rare species including Red Cockaded Woodpeckers and rare fish and aquatic species in streams. Opportunities to connect with existing protected areas and serve a habitat corridor.  Potential to build connectivity to base.  Build from base. Rare species: RCW, Streams are significant – rare fish and species. #14 Metro Actions (Greater Atlanta) – No HUCS selected. Habitat cooridor |  |  |  |  |", ,Priority, , , , , , , ,Priority,030701011408,Lower Big Indian Creek,Altamaha-St. Marys,Altamaha,Upper Oconee,33125.478313509055,46345410.171875
 , , , , , ,,, , , , , , , , , , ,031501090405,Upper Hillabee Creek,Alabama,Coosa-Tallapoosa,Middle Tallapoosa,71437.45036940287,123953096.82421875
 , , , , , ,,, , , , ,Priority, , , , , ,031501090206,Countyline Creek,Alabama,Coosa-Tallapoosa,Middle Tallapoosa,43486.00312072802,40645621.24609375
 , , , , , ,,, , , , , , , , , , ,031501090207,Eagle Creek,Alabama,Coosa-Tallapoosa,Middle Tallapoosa,49990.09859776826,103581375.703125
Yes, ,Yes,Yes, , ,East Alabama - Connect with GCPO,Provides a connection to the GCPO., , , , , , , , , , ,031501090208,Emuckfaw Creek,Alabama,Coosa-Tallapoosa,Middle Tallapoosa,61304.81983406957,170036871.4375
 , , , , , ,,, , , , , , , , , ,Priority,031501080702,Upper Indian Creek,Alabama,Coosa-Tallapoosa,Upper Tallapoosa,43294.256235274916,71291304.8671875
 , , , , , ,,, ,Priority, , , ,Priority, , , , ,031501080402,Owen Creek,Alabama,Coosa-Tallapoosa,Upper Tallapoosa,37153.681480359744,46958329.78125
Yes,Yes,Yes,Yes,Yes, ,North-south connector,"Part of God's Country, this area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management. This area presents an opportunity for work with mitigation banks to restore wetlands.",Priority,Priority,Priority,Priority,Priority, , , , , ,030601060702,Miller Creek,Ogeechee-Savannah,Savannah,Middle Savannah,52497.84249988407,109827299.5546875
 ,Yes,Yes,Yes,Yes, ,Fall Line Connectivity,"High biodiversity and changing habitat. The fall line also establishes a north south axis that may be important under climate change scenarios that might involve northward migration. The selection represents the line between the physiographic provinces to find the fall line and selected HUCs running up the spine. There are unique community assemblages in the fall line (mussels). Part of God's Country, This area hosts river systems that feed sensitive marshes along coastal regions and is characterized by a variety of habitat from river systems to upland ecological areas.  Sand ridge importance towards diversity and actively managed uplands for economic importance and longleaf restoration.  This is also an economically important resource with a need for better management.", , , , ,Priority, , , , , ,030602010304,Beechtree Creek-Rocky Comfort Creek,Ogeechee-Savannah,Ogeechee,Upper Ogeechee,54434.23187086602,76057028.2578125
Yes,Yes,Yes,Yes,Yes,Yes,SC Wetland and Beach,Part of the Edisto River Coast area. Urbanization pressure. Ecosystem migration and opportunities to reduce urbanization,Priority,Priority, ,Priority, , , , , , ,030502090203,Copahee Sound,Edisto-Santee,Edisto-South Carolina Coastal,Bulls Bay,54634.7212947476,127330400.4921875
